,loan_id,loan_amount,loan_duration,installment_amount,fund_transfer_ts,application_id
196,2005021874648.0,1000000.0,7.0,192000.0,2022-01-12 10:58:51.157221+00:00,2004026524022.0
197,2005020687032.0,108065.0,3.0,43000.0,2021-03-13 06:43:36.895275+00:00,2004025892645.0
198,2005020872315.0,500000.0,5.0,140000.0,2021-07-03 13:38:34.704148+00:00,2004025766646.0
199,2005020687370.0,53433.0,1.0,55801.0,2021-03-13 14:55:45.879569+00:00,2004025892645.0
200,2005021127405.0,,3.0,106000.0,2021-09-20 09:01:50.561519+00:00,2004025866071.0
201,2005020687302.0,1000000.0,4.0,,2021-03-13 12:04:56.360577+00:00,2004025644616.0
202,2005020687403.0,400000.0,3.0,153000.0,2021-03-13 16:30:28.950894+00:00,
203,2005020963489.0,52905.0,1.0,54756.0,2021-08-08 03:55:59.229594+00:00,2004026353074.0
204,2005020698434.0,500000.0,6.0,108000.0,2021-03-24 03:56:12.564582+00:00,2004025686373.0
205,2005020931494.0,56474.0,1.0,60653.0,2021-07-27 02:48:28.713659+00:00,2004026677018.0
206,2005020751327.0,102632.0,1.0,109816.0,2021-05-05 07:11:05.835229+00:00,2004026436358.0
207,,53000.0,1.0,57328.0,2021-06-27 03:03:42.944796+00:00,2004025892645.0
208,2005020855091.0,53000.0,1.0,57328.0,2021-06-27 03:04:02.676781+00:00,2004025892645.0
209,2005021581230.0,526895.0,6.0,119000.0,2021-12-01 12:09:38.731773+00:00,2004026545972.0
210,2005020692110.0,500000.0,5.0,140000.0,2021-03-18 10:35:28.682731+00:00,2004026169311.0
211,2005020692131.0,300000.0,3.0,115000.0,2021-03-18 08:27:31.699459+00:00,2004025631947.0
212,2005020758258.0,211684.0,3.0,79000.0,2021-05-10 03:19:26.219699+00:00,2004026214646.0
213,2005021248746.0,2000000.0,5.0,560000.0,2021-10-12 00:34:45.164696+00:00,2004026169311.0
214,2005021646913.0,53000.0,1.0,,2021-12-11 13:22:27.498435+00:00,2004028119486.0
215,2005021168122.0,1000000.0,3.0,383000.0,2021-09-30 00:11:09.306487+00:00,2004025774535.0
216,2005020848360.0,53000.0,1.0,57699.0,2021-06-24 03:23:45.928094+00:00,2004025892645.0
217,2005020848361.0,53000.0,1.0,57699.0,2021-06-24 03:24:05.037233+00:00,2004025892645.0
218,2005020848357.0,53000.0,1.0,57699.0,2021-06-24 03:22:38.533401+00:00,2004025892645.0
219,2005020692442.0,700000.0,4.0,210000.0,2021-03-18 12:29:32.631340+00:00,2004025644616.0
220,2005021050636.0,61054.0,,66101.0,2021-08-31 04:59:50.474100+00:00,2004027199079.0
221,2005020848364.0,53000.0,1.0,57699.0,2021-06-24 03:24:56.166220+00:00,2004025892645.0
222,2005020660949.0,1000000.0,4.0,310000.0,2021-02-12 00:10:51.818161+00:00,2004025750449.0
223,2005020695795.0,5000000.0,5.0,1300000.0,2021-03-22 00:09:11.100122+00:00,2004026053597.0
224,2005020848370.0,53000.0,1.0,57699.0,2021-06-24 03:26:09.946030+00:00,2004025892645.0
225,2005020848372.0,53000.0,1.0,57699.0,2021-06-24 03:26:38.435514+00:00,2004025892645.0
226,2005020872345.0,1053789.0,5.0,284000.0,2021-07-03 13:56:27.834745+00:00,2004025766646.0
227,2005020692435.0,159624.0,3.0,61000.0,2021-03-18 12:15:38.809031+00:00,2004026180220.0
228,2005020862620.0,74000.0,1.0,78686.0,2021-06-30 02:52:44.679040+00:00,
229,2005020848376.0,53000.0,1.0,57699.0,2021-06-24 03:27:25.213115+00:00,2004025892645.0
230,2005020741280.0,3000000.0,6.0,710000.0,2021-04-28 10:26:14.049365+00:00,2004026477517.0
231,2005020848377.0,53000.0,1.0,57699.0,2021-06-24 03:28:38.709704+00:00,2004025892645.0
232,2005021395667.0,106842.0,2.0,60000.0,2021-11-05 15:16:38.739402+00:00,2004026493724.0
233,2005020848382.0,53000.0,1.0,57699.0,2021-06-24 03:30:57.659612+00:00,2004025892645.0
234,2005020872356.0,198947.0,3.0,74000.0,2021-07-03 14:02:21.445807+00:00,2004026691463.0
235,2005020963538.0,52905.0,1.0,56855.0,2021-08-08 04:22:52.824014+00:00,2004025877603.0
236,2005020872358.0,422000.0,5.0,113000.0,2021-07-03 14:06:28.341181+00:00,2004025766646.0
237,2005020673701.0,,5.0,1040000.0,2021-02-27 02:48:45.922100+00:00,
238,2005021223399.0,1000000.0,9.0,171000.0,2021-10-08 05:54:53.690537+00:00,2004026443836.0
239,,53000.0,1.0,57699.0,2021-06-24 03:33:21.656804+00:00,2004025892645.0
240,2005020848388.0,53000.0,1.0,57699.0,2021-06-24 03:32:36.516086+00:00,2004025892645.0
241,2005020674238.0,26717.0,1.0,28000.0,2021-02-27 12:23:08.380038+00:00,2004025892645.0
242,2005020848401.0,,1.0,57699.0,2021-06-24 03:35:31.431470+00:00,2004025892645.0
243,2005020848402.0,53000.0,1.0,57699.0,2021-06-24 03:36:07.124776+00:00,2004025892645.0
244,2005020698546.0,400000.0,3.0,153000.0,2021-03-24 05:18:33.819252+00:00,2004025631947.0
245,2005021090957.0,300000.0,3.0,124000.0,2021-09-11 01:09:58.253605+00:00,2004027390752.0
246,2005020855967.0,10453.0,,11355.0,2021-06-27 09:31:20.549835+00:00,2004026886994.0
247,2005020848400.0,53000.0,1.0,57699.0,2021-06-24 03:35:08.495498+00:00,
248,2005020848409.0,53000.0,1.0,57699.0,2021-06-24 03:37:13.880191+00:00,2004025892645.0
249,2005020666946.0,106868.0,1.0,116000.0,2021-02-18 22:56:27.232643+00:00,2004025903522.0
250,2005020677519.0,54301.0,1.0,57975.0,2021-03-02 23:49:01.225450+00:00,2004025892645.0
251,2005020855154.0,53000.0,1.0,57328.0,2021-06-27 03:25:59.325345+00:00,2004025892645.0
252,2005020848415.0,53000.0,1.0,57699.0,2021-06-24 03:41:00.000810+00:00,2004025892645.0
253,2005020848416.0,53000.0,1.0,57699.0,2021-06-24 03:41:21.953384+00:00,2004025892645.0
254,2005020890042.0,26184.0,1.0,27772.0,2021-07-11 00:36:43.152069+00:00,2004026972682.0
255,2005020848419.0,53000.0,1.0,57699.0,2021-06-24 03:42:02.741334+00:00,2004025892645.0
256,2005020855160.0,53000.0,1.0,57328.0,2021-06-27 03:27:17.799764+00:00,2004025892645.0
257,2005020757841.0,500000.0,3.0,211000.0,2021-05-10 00:18:32.317771+00:00,2004026540462.0
258,2005020848422.0,53000.0,1.0,57699.0,2021-06-24 03:42:35.473181+00:00,2004025892645.0
259,2005020855162.0,53000.0,1.0,57328.0,2021-06-27 03:27:42.556987+00:00,2004025892645.0
260,2005020687496.0,54355.0,1.0,56637.0,2021-03-14 01:23:00.606161+00:00,2004025892645.0
261,2005020687497.0,54355.0,1.0,56637.0,2021-03-14 01:23:34.327863+00:00,2004025892645.0
262,2005020687471.0,54355.0,1.0,56637.0,2021-03-14 00:33:04.433053+00:00,2004025892645.0
263,2005020687472.0,54140.0,1.0,56413.0,2021-03-14 00:34:05.568195+00:00,2004025892645.0
264,2005020848417.0,53000.0,1.0,57699.0,2021-06-24 03:41:41.986002+00:00,2004025892645.0
265,2005020687473.0,54355.0,1.0,56637.0,2021-03-14 00:34:30.617359+00:00,2004025892645.0
266,2005020687489.0,54140.0,1.0,56413.0,2021-03-14 01:12:50.334429+00:00,2004025892645.0
267,2005020687474.0,54355.0,1.0,56637.0,2021-03-14 00:34:58.515437+00:00,2004025892645.0
